training_task,checkpoint_step,run_name,same_task_success,heldout_success,method
1,0,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed1_spatial,0.20208333333333336,0.398125,Base
1,25,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed1_spatial,0.315625,0.40374999999999994,GRPO
1,50,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed1_spatial,0.609375,0.39,GRPO
1,75,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed1_spatial,0.796875,0.39,GRPO
1,100,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed1_spatial,0.85,0.421875,GRPO
1,125,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed1_spatial,0.9,0.41624999999999995,GRPO
1,150,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed1_spatial,0.890625,0.448125,GRPO
1,175,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed1_spatial,0.85625,0.4325,GRPO
1,200,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed1_spatial,0.93125,0.41500000000000004,GRPO
1,0,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed2_spatial,0.20208333333333336,0.398125,Base
1,25,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed2_spatial,0.3625,0.37124999999999997,GRPO
1,50,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed2_spatial,0.484375,0.39937500000000004,GRPO
1,75,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed2_spatial,0.559375,0.40875000000000006,GRPO
1,100,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed2_spatial,0.70625,0.390625,GRPO
1,125,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed2_spatial,0.7125,0.3775,GRPO
1,150,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed2_spatial,0.7875,0.378125,GRPO
1,175,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed2_spatial,0.796875,0.428125,GRPO
1,0,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed3_spatial,0.20208333333333336,0.398125,Base
1,25,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed3_spatial,0.384375,0.4225,GRPO
1,50,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed3_spatial,0.521875,0.405625,GRPO
1,75,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed3_spatial,0.596875,0.395625,GRPO
1,100,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed3_spatial,0.75625,0.40812499999999996,GRPO
1,125,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed3_spatial,0.83125,0.42312500000000003,GRPO
1,150,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed3_spatial,0.8375,0.42437500000000006,GRPO
1,175,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed3_spatial,0.834375,0.403125,GRPO
1,200,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed3_spatial,0.79375,0.374375,GRPO
1,0,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.20208333333333336,0.398125,Base
1,25,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.734375,0.440625,OPD
1,50,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.76875,0.43500000000000005,OPD
1,75,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.796875,0.43687499999999996,OPD
1,100,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.7625,0.44125,OPD
1,125,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.7625,0.44749999999999995,OPD
1,150,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.76875,0.425,OPD
1,175,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.775,0.46375,OPD
1,200,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.775,0.44312500000000005,OPD
