training_task,checkpoint_step,run_name,same_task_success,heldout_success,method,label
1,150,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.071875,0.10625,OPD,OPD (SFT Teacher) | GRPO loss | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,175,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.15,0.1325,OPD,OPD (SFT Teacher) | GRPO loss | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,200,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.13125,0.12562500000000001,OPD,OPD (SFT Teacher) | GRPO loss | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,0,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.20208333333333336,0.398125,Base,OPD (SFT Teacher) | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,25,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.353125,0.38937499999999997,OPD,OPD (SFT Teacher) | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,50,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.621875,0.341875,OPD,OPD (SFT Teacher) | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,75,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.790625,0.29562499999999997,OPD,OPD (SFT Teacher) | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,100,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.234375,0.22937499999999997,OPD,OPD (SFT Teacher) | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,125,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.06875,0.13874999999999998,OPD,OPD (SFT Teacher) | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,150,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.05,0.11125,OPD,OPD (SFT Teacher) | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,175,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.040625,0.071875,OPD,OPD (SFT Teacher) | Task 1 | 32 rollouts/step | 200 steps | group z-score
1,200,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.028125,0.08125,OPD,OPD (SFT Teacher) | Task 1 | 32 rollouts/step | 200 steps | group z-score
4,0,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.315625,0.398125,Base,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | no normalization
4,25,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.709375,0.416875,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | no normalization
4,50,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.728125,0.43624999999999997,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | no normalization
4,75,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.746875,0.42000000000000004,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | no normalization
4,100,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.74375,0.42437500000000006,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | no normalization
4,125,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.79375,0.421875,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | no normalization
4,150,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.759375,0.403125,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | no normalization
4,175,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.759375,0.40874999999999995,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | no normalization
