training_task,checkpoint_step,run_name,same_task_success,heldout_success,method
1,25,grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial,0.265625,0.39,GRPO
1,50,grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial,0.48125,0.4425,GRPO
1,75,grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial,0.659375,0.445,GRPO
4,25,grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial,0.48125,0.390625,GRPO
4,50,grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial,0.584375,0.376875,GRPO
4,75,grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial,0.703125,0.369375,GRPO
1,25,opd_sftteacher_adv0_nonorm_rps32_steps100_si25_task_1_seed184_spatial,0.546875,0.361875,OPD
1,50,opd_sftteacher_adv0_nonorm_rps32_steps100_si25_task_1_seed184_spatial,0.059375,0.176875,OPD
1,75,opd_sftteacher_adv0_nonorm_rps32_steps100_si25_task_1_seed184_spatial,0.371875,0.10875000000000001,OPD
4,25,opd_sftteacher_adv0_nonorm_rps32_steps100_si25_task_4_seed184_spatial,0.396875,0.275,OPD
4,50,opd_sftteacher_adv0_nonorm_rps32_steps100_si25_task_4_seed184_spatial,0.396875,0.241875,OPD
1,25,opd_sftteacher_adv1_grpo_loss_rps32_steps100_si25_task_1_seed184_spatial_norm_group_zscore,0.375,0.393125,OPD
1,50,opd_sftteacher_adv1_grpo_loss_rps32_steps100_si25_task_1_seed184_spatial_norm_group_zscore,0.640625,0.41125,OPD
1,75,opd_sftteacher_adv1_grpo_loss_rps32_steps100_si25_task_1_seed184_spatial_norm_group_zscore,0.78125,0.390625,OPD
4,25,opd_sftteacher_adv1_grpo_loss_rps32_steps100_si25_task_4_seed184_spatial_norm_group_zscore,0.4375,0.370625,OPD
1,25,opd_sftteacher_adv1_rps32_steps100_si25_task_1_seed184_spatial_norm_group_zscore,0.328125,0.39187500000000003,OPD
1,50,opd_sftteacher_adv1_rps32_steps100_si25_task_1_seed184_spatial_norm_group_zscore,0.590625,0.3875,OPD
1,75,opd_sftteacher_adv1_rps32_steps100_si25_task_1_seed184_spatial_norm_group_zscore,0.771875,0.349375,OPD
4,25,opd_sftteacher_adv1_rps32_steps100_si25_task_4_seed184_spatial_norm_group_zscore,0.446875,0.385,OPD
4,50,opd_sftteacher_adv1_rps32_steps100_si25_task_4_seed184_spatial_norm_group_zscore,0.490625,0.36,OPD
4,75,opd_sftteacher_adv1_rps32_steps100_si25_task_4_seed184_spatial_norm_group_zscore,0.521875,0.34562499999999996,OPD
