checkpoint_step,seed,same_task_success,heldout_success
0,2,0.10625,0.5083333333333333
0,3,0.1125,0.5131944444444445
0,1234,0.115625,0.5100694444444445
100,1,0.684375,0.4871527777777778
25,1,0.328125,0.5027777777777778
50,1,0.48125,0.49236111111111114
75,1,0.590625,0.5065972222222223
100,2,0.671875,0.4538194444444444
25,2,0.36875,0.49097222222222225
50,2,0.56875,0.4847222222222222
75,2,0.628125,0.4829861111111111
100,3,0.775,0.42604166666666665
25,3,0.55,0.4993055555555555
50,3,0.665625,0.4732638888888888
75,3,0.75625,0.4715277777777777
