checkpoint_step,n_seeds,same_task_success_mean,same_task_success_lo,same_task_success_hi,heldout_success_mean,heldout_success_lo,heldout_success_hi
0,3,0.03854166666666666,0.02833333333333333,0.048749999999999995,0.5186342592592592,0.5144698128343351,0.5227987056841833
25,3,0.109375,0.06859274027431371,0.15015725972568628,0.5086805555555555,0.5039655283571735,0.5133955827539375
50,3,0.2354166666666667,0.15631690326977374,0.31451643006355967,0.497337962962963,0.4817329297671469,0.5129429961587791
75,3,0.34479166666666666,0.25187900793397416,0.43770432539935916,0.48611111111111116,0.4613634559139576,0.5108587663082647
100,3,0.4875,0.423163199035596,0.551836800964404,0.4825231481481482,0.45914419647114224,0.5059020998251541
