training_task,checkpoint_step,run_name,sweep,same_task_success,heldout_success,method
1,150,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.81875,0.3725,OPD
1,200,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.85,0.39375,OPD
1,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.3625,0.379375,OPD
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.559375,0.385625,OPD
1,75,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.69375,0.385,OPD
4,100,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.73125,0.370625,OPD
4,125,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.73125,0.3575,OPD
4,150,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.771875,0.335,OPD
4,175,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.809375,0.361875,OPD
4,200,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.8375,0.35875,OPD
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.50625,0.388125,OPD
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.653125,0.37124999999999997,OPD
4,75,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.725,0.385625,OPD
1,100,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.828125,0.45625,OPD
1,125,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.88125,0.448125,OPD
1,150,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.903125,0.47062499999999996,OPD
