training_task,run_name,checkpoint_step
4,opd_sftteacher_adv0_nonorm_rps32_steps100_si25_task_4_seed184_spatial,75
4,opd_sftteacher_adv1_grpo_loss_rps32_steps100_si25_task_4_seed184_spatial_norm_group_zscore,50
4,opd_sftteacher_adv1_grpo_loss_rps32_steps100_si25_task_4_seed184_spatial_norm_group_zscore,75
