checkpoint_step,n_seeds,same_task_success_mean,same_task_success_lo,same_task_success_hi,heldout_success_mean,heldout_success_lo,heldout_success_hi
0,3,0.11145833333333333,0.10605659107324311,0.11686007559342354,0.5105324074074075,0.5077448051822001,0.5133200096326148
25,3,0.4156250000000001,0.28194649496522145,0.5493035050347788,0.4976851851851852,0.4908194023002717,0.5045509680700986
50,3,0.571875,0.4675100803270882,0.6762399196729119,0.48344907407407406,0.4725720068029239,0.49432614134522423
75,3,0.6583333333333333,0.560057246536437,0.7566094201302297,0.487037037037037,0.46680139408423443,0.5072726799898396
100,3,0.7104166666666667,0.6467310646613642,0.7741022686719692,0.45567129629629627,0.4210468363930145,0.49029575619957805
